,Model Name,Testing MSE,Testing MSE after removing outlier,Training MSE
0,Perceptron 1 | rnd | adam | relu,0.15847615897655487,0.1336093246936798,0.04603746872056614
1,Perceptron 2 | rnd | adam | relu | cv,0.1541179120540619,0.15237312018871307,0.04819965430281379
2,FF 1 | rnd | adam | relu,0.09663693606853484,0.08142693340778351,0.011763981797478416
3,FF 2 | rnd | adam | relu | cv,0.10498368740081787,0.1109071969985962,0.01732239228757945
4,FF 3 | glorot_normal | adam | relu,0.08605211228132248,0.06719349324703218,0.010841962542723526
5,FF 4 | glorot_normal | adam | relu | cv,0.18346041440963745,0.0885203406214714,0.021636016201227903
6,FF 5 | glorot_uniform | adam | relu,0.13939522206783295,0.14459840953350067,0.011692478660155426
7,FF 6 | glorot_uniform | adam | relu | cv,0.2261817455291748,0.14429403841495514,0.039566845230927516
8,DFF 1 | rnd | adam | relu,0.09103095531463623,0.08044996857643127,0.006457095881077376
9,DFF 2 | rnd | adam | relu | cv,0.11797761172056198,0.12309447675943375,0.015950913456353275
10,DFF 3 | glorot_normal | adam | relu,0.11310935020446777,0.0713510811328888,0.00034603222659577364
11,DFF 4 | glorot_normal | adam | relu | cv,0.1755593866109848,0.15229572355747223,0.020831084810197353
12,DFF 5 | glorot_uniform | adam | relu,0.12707161903381348,0.12707161903381348,0.0007928311348554086
13,DFF 6 | glorot_uniform | adam | relu | cv,0.18356847763061523,0.19306263327598572,0.04116917332232168
